firstbridge_id,composite_ticker,sponsor,as_of_date,asset_class
559ae815331546fc9563a26a82ab8164,GSBG,Goldman Sachs,2024-12-06,Bonds
55f8b3be4ff1486e9a290402be780ec9,STAI,Leverage Shares,2024-12-06,Equities (Stocks)
5641354479cd4a0a86577a37a2956690,V3MB,Vanguard,2024-07-31,Equities (Stocks)
5685adf0e121461b936d84e63392ba82,XLIS,Invesco,2024-12-06,Equities (Stocks)
569d292d420e474588284c5c1c25a771,SRUG,UBS,2024-10-31,Equities (Stocks)
56f9e53c384a4bf6b5f73a09cf5a7e31,3MBE,Leverage Shares,2024-12-06,Equities (Stocks)
571eb9195eb04d068f9e1ecbfd0beff0,SSPE,Leverage Shares,2024-12-06,Equities (Stocks)
57aa3c4ce78a4d5dadf3ee369bcbe2e9,DAXS,Leverage Shares,2024-12-06,Equities (Stocks)
57d9822efcd24d2b88d397c5a7e00b53,MLPP,Invesco,2024-12-06,Other Asset Types
5805610a6581495aa6e69e3e1e59e633,SBIO,Invesco,2024-12-06,Equities (Stocks)
5868b5061cdb4b6ca56d7932b2a74442,UB17,UBS,2024-10-31,Equities (Stocks)
5886e6af9e3348fca29eb4eabfb99c01,UC13,UBS,2024-10-31,Equities (Stocks)
58aa7be200bf4944ae072a404f7f6c65,CHNS,Leverage Shares,2024-12-06,Equities (Stocks)
58db1305ebaf43ea921e59e57a4175b4,SGOL,Leverage Shares,2024-12-06,Commodities & Metals
59742035b7964dcdbb5260cb133ddfff,HESS,HSBC,2024-12-11,Equities (Stocks)
59b596acb8a54789ac086625b908574e,1MSF,Leverage Shares,2024-12-06,Equities (Stocks)
59c8395ea0524748827bdbd59e5f0fd9,NVDD,Leverage Shares,2024-12-06,Equities (Stocks)
5a20b66a2b104eb58029056a5af69ca5,SPDA,UBS,2024-10-31,Equities (Stocks)
5a4afc4184fd4a059f06a44f80071e58,WTNR,Wisdom Tree,2024-09-30,Equities (Stocks)
5ab86f6f5aef432c9e12a607f13f9f0e,SOXL,Leverage Shares,2024-12-06,Equities (Stocks)
5ae318645ab34589b8dc741b7554845d,COIY,Leverage Shares,2024-12-06,Equities (Stocks)
5b051cb81cb6445aae13ba482e89bb39,V3PM,Vanguard,2024-07-31,Equities (Stocks)
5b3d9a93ad7a4be39731d8e8d51a1721,C500,Invesco,2024-12-06,Equities (Stocks)
5b6f06b31ba1451987afe504da7c3de3,STAE,Leverage Shares,2024-12-06,Equities (Stocks)
5bda6e45d2e0419c88d0da25aff202ae,BARG,Janus,2024-11-15,Commodities & Metals
5c1b9287b83b4d57af8aaf53296f78f6,GSGR,Goldman Sachs,2024-12-06,Bonds
5c80071a41594ea597eaec16675ae23c,DFE,Wisdom Tree,2024-09-30,Equities (Stocks)
5cd221a2ddeb4c77b4ec4232afc42ca7,HCAN,HSBC,2024-12-11,Equities (Stocks)
5d04e7a2f5fa480cbc565efe1c41724e,V3PA,Vanguard,2024-07-31,Equities (Stocks)
5d17794ee290468895aa67c82b14318f,HNSS,HSBC,2024-12-11,Equities (Stocks)
5d36aab5d891406aa76ea5b3762718a5,3XLE,Leverage Shares,2024-12-06,Equities (Stocks)
528e87001ad049ed9ef86f01261e2000,SP5EUY,UBS,2024-10-31,Equities (Stocks)
5310d21909b6474fb2eb5b83b6f0d990,CBSUSA,UBS,2024-10-31,Bonds
53d1a007bb5448beba18a56e65d3cd9c,EMIG,UBS,2024-10-31,Bonds
543a87b1ebc648eb8eceeba58de723fe,UT1EUA,UBS,2024-10-31,Bonds
